ID	关卡名称	文件名	下一关ID	道具	道具数量	通关奖励	评级分数	关卡分类	玩法	人数	炸弹数量	场景美术类型	能力更改	Loading	Unlock	Award	Ending
1101	1	map1101	1102			100	333;433	0	0			0	"rst:1,1,2,200"	1101;1101-2			
1102	2	map1102	1103			100	359;467	0	0			0		1102			
1103	3	map1103	1104			100	590;767	0	0			0	"rst:2,0,0,0"	1103;1103-2			
1104	4	map1104	1105			100	549;714	0	0			0	"ups:0,1,0,0"	1104;1104-2			
1105	5	map1105	1106			100	872;1133	0	0			0	"ups:0,0,1,0"	1105;1105-2			
1106	6	map1106	1107			100	1000;1300	0	0			0	"ups:0,0,0,50"	1106;1106-2			
1107	7	map1107	1108			100	1000;1300	0	0			0	"ups:1,0,0,0"	1107			
1108	8	map1108	1109			100	942;1225	0	0			0	"ups:0,1,0,0"				
1109	9	map1109	1110			100	991;1289	0	0			0	"ups:0,0,1,0"	1109;1109-2			
1110	10	map1110	1111			100	846;1100	0	0			0	"ups:0,0,0,50"	1110;1110-2			
1111	11	map1111	1112			100	974;1267	0	0			0	"ups:1,0,0,0"	1111			
1112	12	map1112	1201			300	1000;1300	0	0			0	"ups:0,1,0,0"	1112	"1,1,unlock_md.png"		
1201	1	map1201	1202			100	902;1173	0	0			1	"rst:2,2,3,200"	1201			
1202	2	map1202	1203			100	795;1033	0	0			1	"ups:1,0,0,0"	1202			
1203	3	map1203	1204			100	782;1017	0	0			1	"ups:0,1,0,0"	1203			
1204	4	map1204	1205			700	3590;4667	0	1			1	"ups:0,0,1,0"	1204			
1205	5	map1205	1206			150	850;1105	0	0			1	"ups:0,0,0,50"	1205			
1206	6	map1206	1207			150	689;896	0	0			1	"ups:1,0,0,0"	1206	"1,10,unlock_cl_challenge.png"		
1207	7	map1207	1208			100	840;1092	0	0			1	"ups:0,1,0,0"	1207			
1208	8	map1208	1209			900	1538;2000	0	0			1	"ups:0,0,1,0"				
1209	9	map1209	1210			100	712;925	0	0			1	"ups:0,0,0,50"				
1210	10	map1210	1211			100	788;1025	0	0			1	"ups:1,0,0,0"				
1211	11	map1211	1212			100	735;956	0	0			1	"ups:0,1,0,0"				
1212	12	map1212	1301			300	761;989	0	0			1	"ups:0,0,1,0"	1212	"1,2,unlock_bc.png"		
1301	1	map1301	1302			100	959;1246	0	0			2	"rst:3,3,3,200"	1301			
1302	2	map1302	1303			100	752;978	0	0			2	"ups:1,0,0,0"	1302			
1303	3	map1303	1304			100	785;1020	0	0			2	"ups:0,1,0,0"	1303	"1,20,unlock_battle.png"		
1304	4	map1304	1305			900	4615;6000	0	1			2	"ups:0,0,1,0"	1304			
1305	5	map1305	1306			100	695;904	0	0			2	"ups:0,0,0,50"	1305			
1306	6	map1306	1307			100	549;714	0	0			2	"ups:1,0,0,0"	1306	"1,11,unlock_md_challenge.png"		
1307	7	map1307	1308			100	715;929	0	0			2	"ups:0,1,0,0"	1307			
1308	8	map1308	1309			900	1154;1500	0	0			2	"ups:0,0,1,0"				
1309	9	map1309	1310			100	581;756	0	0			2	"ups:0,0,0,50"	1309			
1310	10	map1310	1311			100	518;673	0	0			2	"ups:1,0,0,0"				
1311	11	map1311	1312			100	532;692	0	0			2	"ups:0,1,0,0"	1311			
1312	12	map1312	0			500	641;833	0	0			2	"ups:0,0,1,0"	1312	"1,12,unlock_bc_challenge.png"		
2101	1	map2101	2102			100	837;1088	1	0			0		2101			
2102	2	map2102	2103			100	631;820	1	0			0		2102			
2103	3	map2103	2104			850	1488;1935	1	0			0		2103			
2104	4	map2104	2105			100	777;1010	1	0			0		2104			
2105	5	map2105	2106			850	1301;1691	1	0			0					
2106	6	map2106	2107			100	694;902	1	0			0		2106			
2107	7	map2107	2108			950	3654;4750	1	1			0		2107			
2108	8	map2108	0			500	941;1224	1	0			0					
2201	1	map2201	2202			100	643;835	1	0			1					
2202	2	map2202	2203			500	519;674	1	0			1					
2203	3	map2203	2204			100	551;716	1	0			1					
2204	4	map2204	2205			500	1282;1667	1	1			1					
2205	5	map2205	2206			100	546;710	1	0			1					
2206	6	map2206	2207			900	852;1107	1	0			1					
2207	7	map2207	2208			100	462;600	1	0			1					
2208	8	map2208	0			600	577;750	1	0			1					
2301	1	map2301	2302			100	621;807	1	0			2					
2302	2	map2302	2303			1000	1538;2000	1	0			2					
2303	3	map2303	2304			100	633;824	1	0			2					
2304	4	map2304	2305			1000	2747;3571	1	1			2		2304			
2305	5	map2305	2306			100	555;722	1	0			2					
2306	6	map2306	2307			1000	631;820	1	0			2					
2307	7	map2307	2308			100	701;912	1	0			2					
2308	8	map2308	0			1000	769;1000	1	0			2					
3101	1	map3101	0			100	1;100	2	2	2		0					
3102	2	map3102	0			100	1;100	2	2	3		0					
3103	3	map3103	0			100	1;100	2	2	3		0					
3201	4	map3201	0			100	1;100	2	2	3		1					
3202	5	map3202	0			100	1;100	2	2	3		1					
3203	6	map3203	0			100	1;100	2	2	3		1					
3204	7	map3204	0			100	1;100	2	2	3		1					
3205	8	map3205	0			100	1;100	2	2	3		1					
3301	9	map3301	0			100	1;100	2	2	3		2					
3302	10	map3302	0			100	1;100	2	2	3		2					
3303	11	map3303	0			100	1;100	2	2	3		2					
3304	12	map3304	0			100	1;100	2	2	3		2					
