ID	区域	区域范围	道具	道具数量
1101	0			
1102	0		107	2
1102	1	"8,4,1,1"	107	1
1103	1	"5,3,2,1"	102	1
1103	2	"5,5,1,1"	102	1
1103	3	"7,5,2,1"	102	1
1104	0		102	2
1104	1	"4,3,3,2"	103	2
1105	0		"102,107"	"1,2"
1105	1	"4,5,1,1"	104	1
1105	2	"3,3,2,3"	104	2
1105	3	"8,4,1,2"	"102,103"	"1,1"
1106	0		"102,104,107"	"3,2,3"
1106	1	"5,5,2,2"	"102,107"	"1,1"
1106	2	"8,4,1,1"	103	1
1107	0		"102,107"	"2,4"
1107	1	"3,5,2,2"	102	1
1107	2	"6,5,2,1"	103	1
1107	3	"5,2,4,1"	104	1
1108	0		"102,104,107"	"2,1,4"
1108	1	"2,6,7,1"	102	1
1109	0		"102,104,107"	"2,1,5"
1109	1	"1,5,3,2"	"103,102"	"1,1"
1109	2	"11,1,1,1"	102	1
1109	3	"1,1,6,2"	"102,104"	"1,1"
1109	4	"8,5,4,3"	"102,103,104"	"1,1,1"
1110	0		"102,104,107"	"1,1,1"
1110	1	"2,7,2,3"	"102,103"	"1,1"
1110	2	"1,3,3,3"	"102,103"	"1,1"
1110	3	"1,1,5,2"	104	1
1110	4	"6,1,5,4"	"102,103"	"1,1"
1111	0		"102,103,104,107"	"3,2,1,5"
1111	1	"1,5,3,2"	102	1
1111	2	"3,7,5,3"	"102,103,104"	"1,1,1"
1111	3	"2,1,3,3"	"102,103"	"1,1"
1112	0		"102,103,104,107"	"2,1,1,3"
1112	1	"1,4,4,4"	"102,103,104"	"2,2,1"
1112	2	"1,1,3,3"	"102,103,104"	"1,1,1"
1201	0		"102,104,107"	"2,1,5"
1201	1	"2,6,3,3"	103	1
1201	2	"2,5,7,4"	102	1
1202	0		"102,103,104,107"	"2,1,1,5"
1202	1	"2,5,7,4"	102	1
1203	0		"102,103,104,107"	"2,1,1,5"
1203	1	"2,5,7,4"	102	1
1204	0		"102,103,104,107"	"1,1,1,6"
1205	0		"102,103,104,107"	"2,1,1,6"
1205	1	"2,3,7,4"	102	1
1206	0		"102,103,104,107"	"3,1,1,6"
1206	1	"2,3,7,4"	102	1
1207	0		"102,103,104,107"	"3,1,2,6"
1207	1	"2,3,7,4"	102	1
1208	0		"102,103,104,107"	"1,1,1,6"
1209	0		"102,103,104,107"	"3,1,1,6"
1209	1	"2,4,7,5"	102	1
1210	0		"102,103,104,107"	"3,2,1,7"
1210	1	"4,3,4,6"	"102,103"	"1,1"
1211	0		"102,103,104,107"	"3,2,1,7"
1211	1	"5,6,2,3"	102	1
1212	0		"102,103,104,107"	"2,2,1,7"
1212	1	"6,4,3,5"	"102,103"	"1,1"
1301	0		107	6
1301	1	"2,7,9,3"	"102,104"	"1,1"
1301	2	"1,1,5,6"	103	1
1301	3	"6,6,6,4"	"102,103,104"	"1,1,1"
1302	0		107	7
1302	1	"1,6,5,4"	102	1
1302	2	"1,1,5,5"	"102,103"	"1,1"
1302	3	"6,6,6,4"	"104,102"	"1,1"
1302	4	"6,1,6,5"	"104,103"	"1,1"
1303	0		107	7
1303	1	"1,8,6,4"	102	2
1303	2	"7,8,5,4"	103	2
1303	3	"1,1,6,7"	"102,104"	"1,1"
1303	4	"7,1,5,7"	"103,104"	"1,1"
1304	0		107	1
1305	0		107	7
1305	1	"1,8,6,4"	102	2
