ID	名字	生命力	攻击力	爆炸奖励	文件名称	头像文件名称	视野	追踪视野	宽度	高度	帧数	脚位置	速度	追踪速度	ai	不死之身	技能
1	蘑菇怪	49	33	30	cl_M_mogu		2	2	40	50	8	8	29	29	0	0	
3	蜘蛛怪	49	50	30	cl_M_zhizhu		2	2	40	50	8	10	29	39	0	0	
5	猪怪	49	50	30	cl_M_zhu		3	3	40	50	8	10	39	49	0	0	
6	猴怪	49	50	30	cl_M_hou		3	3	40	55	8	8	49	49	0	0	
7	人猿(Boss)	249	50	30	cl_MB_yuanren	cl_boss_icon	3	3	120	150	8	22	59	59	3	0	"1,3"
8	蝙蝠怪	49	50	30	md_M_bianfu		2	2	40	55	6	8	39	59	0	0	
9	僵尸怪	49	50	30	md_M_jiangshi		3	3	40	70	8	10	49	49	0	0	
10	骷髅怪	49	50	30	md_M_kulou		3	3	40	70	8	10	49	49	1	0	
11	木乃伊	49	50	30	md_M_munaiyi		3	3	40	70	8	10	49	59	1	0	
12	眼球怪	49	50	30	md_M_yanqiu		4	4	40	60	8	10	59	59	1	0	
13	骷髅王(Boss)	349	50	30	md_MB_kulouwang	md_boss_icon	3	3	120	150	4	22	59	59	3	0	"7,9,11"
14	飞鱼	49	50	30	bc_M_feiyu		2	2	40	55	4	8	59	79	0	0	
15	企鹅	49	50	30	bc_M_qie		3	3	40	55	8	10	59	59	1	0	
16	海豹	49	50	30	bc_M_haibao		3	3	40	55	8	10	59	79	1	0	
17	鱼人	49	50	30	bc_M_yuren		3	3	40	55	8	10	59	59	1	0	
18	白熊	49	50	30	bc_M_baixiong		2	2	40	60	8	10	59	89	2	0	
19	章鱼(Boss)	499	50	30	bc_MB_zhangyuguai	bc_boss_icon	3	3	120	150	8	22	59	59	3	0	"13,15,17"
20	小章鱼	49	50	30	bc_M_xiaozhangyu		3	3	40	60	8	10	59	79	1	0	
21	蘑菇怪-jd	49	33	30	cl_M_mogu		2	2	40	50	8	8	29	29	4	0	
22	木偶	49	50	30	cl_M_muou		5	5	40	65	8	8	29	29	1	0	
23	仓鼠	49	50	30	cl_M_cangshu		3	5	40	70	8	8	29	39	1	0	
24	盔甲怪	49	50	30	md_M_kuijiaguai		2	2	40	60	8	8	29	29	0	0	
25	蘑菇怪-bt	49	50	30	cl_M_mogu		2	2	40	50	8	8	29	29	0	0	
26	蜘蛛怪-bt	49	50	30	cl_M_zhizhu		2	2	40	50	8	10	29	39	0	0	
27	木偶-bt	49	50	30	cl_M_muou		5	5	40	65	8	8	29	29	1	0	
28	猪怪-bt	49	50	30	cl_M_zhu		3	3	40	50	8	10	39	49	0	0	
29	猴怪-bt	49	50	30	cl_M_hou		3	3	40	55	8	8	59	69	1	0	
30	人猿(Boss)-bt	349	50	30	cl_MB_yuanren	cl_boss_icon	3	3	120	150	8	22	59	59	3	0	"2,4"
31	蝙蝠怪-bt	49	50	30	md_M_bianfu		2	2	40	55	6	8	39	59	0	0	
32	僵尸怪-bt	49	50	30	md_M_jiangshi		3	3	40	70	8	10	49	49	0	0	
33	骷髅怪-bt	49	50	30	md_M_kulou		3	3	40	70	8	10	49	49	1	0	
34	木乃伊-bt	49	50	30	md_M_munaiyi		3	3	40	70	8	10	49	69	1	0	
35	眼球怪-bt	49	50	30	md_M_yanqiu		4	4	40	60	8	10	69	79	1	0	
36	骷髅王(Boss)-bt	449	50	30	md_MB_kulouwang	md_boss_icon	3	3	120	150	4	22	59	79	3	0	"8,10,12"
37	飞鱼-bt	49	50	30	bc_M_feiyu		2	2	40	55	4	8	59	79	0	0	
38	企鹅-bt	49	50	30	bc_M_qie		3	3	40	55	8	10	59	59	1	0	
39	海豹-bt	49	50	30	bc_M_haibao		3	3	40	55	8	10	59	79	1	0	
40	鱼人-bt	49	50	30	bc_M_yuren		3	3	40	55	8	10	59	59	1	0	
41	白熊-bt	49	50	30	bc_M_baixiong		2	2	40	60	8	10	59	89	2	0	
42	章鱼(Boss)-bt	599	50	30	bc_MB_zhangyuguai	bc_boss_icon	3	3	120	150	8	22	59	59	3	0	"14,16,18"
43	小章鱼-bt	49	50	30	bc_M_xiaozhangyu		3	3	40	60	8	10	59	79	1	0	
44	仓鼠-bt	49	50	30	cl_M_cangshu		3	5	40	70	8	8	29	39	1	0	
45	盔甲怪-bt	49	50	30	md_M_kuijiaguai		2	2	40	60	8	8	29	29	0	0	
